,5,10,20,50,100
2012-07-19,165440.00000000012,646670.0000000009,386569.99999999965,93429.99999999994,445310.0000000001
2012-07-20,162050.0000000001,639890.0000000009,379789.9999999996,90039.99999999991,441920.0000000001
2012-07-23,151040.00000000012,617870.000000001,357769.99999999965,79029.99999999996,430910.0000000002
2012-07-24,152090.0000000001,619970.000000001,359869.9999999996,80079.99999999994,431960.0000000002
2012-07-25,153500.0000000001,622790.000000001,362689.9999999996,81489.99999999994,433370.0000000002
2012-07-26,154760.0000000001,625310.000000001,365209.9999999996,82749.99999999994,434630.0000000002
2012-07-27,157010.0000000001,629810.000000001,369709.9999999996,84999.99999999994,436880.0000000002
2012-07-30,155930.0000000001,627650.000000001,367549.9999999996,83919.99999999994,435800.0000000002
2012-07-31,150770.0000000001,617330.000000001,357229.9999999996,78759.99999999994,430640.0000000002
2012-08-01,153260.0000000001,622310.000000001,362209.9999999996,81249.99999999994,433130.0000000002
2012-08-02,147980.00000000006,611750.000000001,351649.99999999953,75969.99999999993,427850.0000000002
2012-08-03,160670.00000000006,637130.000000001,377029.99999999953,88659.99999999994,440540.0000000002
2012-08-06,163130.00000000003,642050.000000001,381949.9999999995,91119.99999999993,443000.0000000002
2012-08-07,167570.00000000003,650930.000000001,390829.9999999995,95559.99999999994,447440.0000000002
2012-08-08,166640.00000000003,649070.000000001,388969.9999999995,94629.99999999994,446510.0000000002
2012-08-09,166640.00000000003,649070.000000001,388969.9999999995,94629.99999999994,446510.0000000002
2012-08-10,165200.00000000006,646190.0000000012,386089.99999999953,93189.99999999997,445070.00000000023
2012-08-13,164840.00000000006,645470.0000000012,385369.99999999953,92829.99999999996,444710.00000000023
2012-08-14,166970.00000000003,649730.0000000012,389629.9999999995,94959.99999999994,446840.00000000023
2012-08-15,169610.00000000006,655010.0000000012,394909.99999999953,97599.99999999997,449480.00000000023
2012-08-16,173420.00000000006,662630.0000000012,402529.99999999953,101409.99999999996,453290.00000000023
2012-08-17,173420.00000000006,662600.0000000012,402499.99999999953,101409.99999999996,453290.00000000023
2012-08-20,173360.00000000006,662540.0000000012,402439.99999999953,101349.99999999997,453230.00000000023
2012-08-21,175190.00000000006,664370.0000000012,404269.99999999953,103179.99999999997,455060.00000000023
2012-08-22,176330.00000000006,665510.0000000012,405409.99999999953,104319.99999999996,456200.00000000023
2012-08-23,173480.00000000006,662660.0000000012,402559.99999999953,101469.99999999994,453350.00000000023
2012-08-24,173030.0000000001,662210.0000000012,402109.99999999953,101019.99999999997,452900.00000000023
2012-08-27,171050.0000000001,660230.0000000012,400129.99999999953,99039.99999999999,450920.00000000023
2012-08-28,173570.00000000006,662750.0000000012,402649.9999999995,101559.99999999996,453440.0000000002
2012-08-29,171110.0000000001,660290.0000000012,400189.9999999995,99099.99999999997,450980.0000000002
2012-08-30,168560.00000000006,657740.0000000012,397639.9999999995,96549.99999999994,448430.0000000002
2012-08-31,173960.0000000001,663140.0000000012,403039.99999999953,101949.99999999997,453830.00000000023
2012-09-04,170600.0000000001,659780.0000000012,399679.99999999953,98589.99999999996,450470.00000000023
2012-09-05,170750.0000000001,659930.0000000012,399829.99999999953,98739.99999999994,450620.00000000023
2012-09-06,171230.0000000001,660410.0000000012,400309.99999999953,99219.99999999993,451100.00000000023
2012-09-07,173930.00000000012,663110.0000000012,403009.99999999953,101919.99999999994,453800.00000000023
2012-09-10,174320.00000000012,663500.0000000012,403399.99999999953,102309.99999999993,454190.00000000023
2012-09-11,176180.00000000012,665360.0000000012,405259.99999999953,104169.99999999994,456050.00000000023
2012-09-12,175700.00000000012,664880.0000000012,404779.99999999953,103689.99999999996,455570.00000000023
2012-09-13,179570.0000000001,668750.0000000012,408649.99999999953,107559.99999999993,459440.00000000023
2012-09-14,181670.0000000001,670850.0000000012,410749.99999999953,109659.99999999994,461540.00000000023
2012-09-17,174530.0000000001,663710.0000000012,403609.99999999953,102519.99999999996,454400.00000000023
2012-09-18,174530.0000000001,663680.0000000012,403609.99999999953,102489.99999999996,454380.00000000023
2012-09-19,164540.0000000001,643700.0000000012,393619.99999999953,102489.99999999996,451050.00000000023
2012-09-20,164990.00000000006,644600.0000000012,394069.99999999953,102489.99999999996,451200.00000000023
